,state,sum
595,"[2, 4, 32, 32, 64, 256]",390
596,"[2, 2, 4, 32, 32, 64, 256]",392
597,"[4, 4, 16, 16, 32, 64, 256]",392
598,"[2, 2, 4, 16, 16, 32, 64, 256]",392
599,"[4, 4, 8, 8, 16, 32, 64, 256]",392
600,"[2, 2, 4, 64, 64, 256]",392
601,"[4, 4, 32, 32, 64, 256]",392
602,"[2, 4, 4, 64, 64, 256]",394
603,"[2, 4, 4, 32, 32, 64, 256]",394
604,"[2, 8, 32, 32, 64, 256]",394
605,"[2, 4, 4, 16, 16, 32, 64, 256]",394
606,"[2, 8, 16, 16, 32, 64, 256]",394
607,"[2, 4, 4, 128, 256]",394
608,"[2, 8, 64, 64, 256]",394
609,"[2, 2, 8, 128, 256]",396
610,"[4, 4, 4, 64, 64, 256]",396
611,"[2, 2, 8, 64, 64, 256]",396
612,"[4, 8, 32, 32, 64, 256]",396
613,"[4, 4, 4, 32, 32, 64, 256]",396
614,"[2, 2, 8, 32, 32, 64, 256]",396
615,"[4, 8, 16, 16, 32, 64, 256]",396
616,"[4, 4, 4, 128, 256]",396
617,"[4, 8, 64, 64, 256]",396
618,"[2, 4, 8, 128, 256]",398
619,"[2, 4, 8, 64, 64, 256]",398
620,"[2, 4, 8, 32, 32, 64, 256]",398
621,"[2, 2, 4, 8, 128, 256]",400
622,"[4, 4, 8, 128, 256]",400
623,"[4, 4, 8, 64, 64, 256]",400
